time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-02-19T18:19:09.430Z,32.9083,-87.9971,4.63,3,mb_lg,,65,0.296,0.75,us,usc000trk7,2016-02-09T13:53:10.450Z,"12km NW of Eutaw, Alabama",earthquake,2.3,6.8,0.062,68,reviewed,us,us
2015-01-21T05:31:59.000Z,47.371,-70.217,14.5,3.7,mb_lg,,,,0.73,us,usc000ti4g,2015-04-20T16:05:38.040Z,"11km WNW of La Pocatiere, Canada",earthquake,5.4,7.6,,,reviewed,ott,ott
2015-01-16T13:05:28.720Z,49.4297,-66.7949,18,4.1,mb,,,,0.82,us,usc000tgdg,2016-05-26T21:29:16.740Z,"37km NNW of Cap-Chat, Canada",earthquake,4.7,1.9,0.157,11,reviewed,ott,us
2015-01-12T11:36:38.890Z,41.7482,-71.9019,5.4,3.3,mb_lg,,87,0.246,0.36,us,usc000tesx,2016-05-26T21:28:56.510Z,"0km NE of Wauregan, Connecticut",earthquake,2.5,7.8,0.054,91,reviewed,us,us
2014-12-17T19:38:15.640Z,32.9504,-88.0198,9.17,3.4,mb_lg,,64,0.251,0.5,us,usc000t7r4,2016-04-07T18:22:00.980Z,"17km NW of Eutaw, Alabama",earthquake,4.6,7.7,0.05,109,reviewed,us,us
2014-12-15T06:44:16.560Z,36.059,-81.5195,13.16,3,md,25,35,0.3222,0.26,se,se610680,2016-04-07T18:21:48.110Z,"16km N of Lenoir, North Carolina",earthquake,0.7,1.6,0.309,4,reviewed,se,se
2014-11-20T10:25:31.520Z,32.9411,-88.0317,5,3.8,mwr,,64,0.259,0.66,us,usb000sy7g,2016-04-07T18:20:56.990Z,"17km NW of Eutaw, Alabama",earthquake,4.1,2,0.036,74,reviewed,us,us
2014-11-02T01:58:10.000Z,46.938,-67.032,5,3.2,mb_lg,,,,0.62,us,usc000sue7,2015-01-20T09:03:10.040Z,"New Brunswick, Canada",earthquake,2.2,2,,,reviewed,ott,ott
2014-10-03T04:52:32.650Z,31.6761,-94.0554,5,3.1,mb_lg,,81,0.347,0.94,us,usb000sie0,2015-01-30T17:45:23.681Z,"16km NNE of San Augustine, Texas",earthquake,1.8,2,0.051,109,reviewed,us,us
2014-09-23T02:58:02.760Z,48.4254,-69.1607,18,3.3,mb_lg,,,,0.78,us,usb000sh5a,2014-12-19T00:05:26.040Z,"35km S of Forestville, Canada",earthquake,1.6,5.9,,,reviewed,ott,ott
2014-08-05T18:15:31.590Z,46.485,-81.193,5.4,3.8,mb_lg,,,,0.82,us,usb000s0hr,2016-05-26T21:27:42.610Z,"15km W of Greater Sudbury, Canada",earthquake,,6.2,,,reviewed,ott,ott
2014-08-05T17:54:53.520Z,46.4765,-81.1848,12.05,3.3,mb_lg,,,,0.64,us,usb000s0t4,2014-10-29T19:53:02.000Z,"15km W of Greater Sudbury, Canada",earthquake,,7.6,,,reviewed,ott,ott
2014-08-02T18:38:40.200Z,47.5906,-70.1818,14.81,3,mb_lg,,,,1.28,us,usb000rzl2,2014-10-29T19:52:55.000Z,"7km SSW of La Malbaie, Canada",earthquake,,7.8,,,reviewed,ott,ott
2014-07-04T22:55:57.000Z,45.922,-74.857,18,3,mb_lg,,,,0.82,us,usc000rqrb,2014-10-04T19:59:55.000Z,"27km NE of Saint-Andre-Avellin, Canada",earthquake,,1.9,,,reviewed,ott,ott
2014-06-04T21:19:24.330Z,35.5795,-92.245,0.08,3.8,mw,17,50,0.1459,0.18,nm,nm610403,2016-04-07T17:52:22.543Z,"3km SE of Fairfield Bay, Arkansas",earthquake,0.8,2.5,1.147,5,reviewed,nm,nm
2014-05-26T21:33:49.000Z,48.963,-68.016,21,3.7,mb_lg,,,,0.49,us,usb000r55f,2014-08-23T08:36:50.000Z,"29km SSE of Baie-Comeau, Canada",earthquake,,3.6,,,reviewed,ott,ott
2014-05-22T01:47:15.960Z,37.5298333,-78.0701667,9.86,3.1,mw,13,74,0.084,0.31,se,se610626,2016-05-26T21:26:58.280Z,"13km W of Powhatan, Virginia",earthquake,0.9,1.7,0.325,4,reviewed,se,se
2014-05-15T15:44:58.340Z,36.558,-90.02,5.63,3.1,md,38,67,0.06237,0.12,nm,nm610382,2016-04-07T17:48:43.090Z,"4km W of Malden, Missouri",earthquake,0.2,1.2,0.3,20,reviewed,nm,nm
2014-04-28T14:52:54.000Z,47,-66.57,5,3.4,mb_lg,,,,0.8,us,usb000q3f5,2014-07-14T20:11:22.000Z,"84km W of Miramichi, Canada",earthquake,,7.5,,,reviewed,ott,ott
2014-04-21T01:05:06.760Z,29.6897,-67.5421,6.76,4.1,mb,,79,3.62,1.34,us,usb000ps9i,2014-07-04T01:34:44.000Z,"North Atlantic Ocean",earthquake,,4.3,0.067,60,reviewed,us,us
2014-04-07T06:24:12.920Z,36.2161667,-89.4101667,6.28,3.1,md,22,67,0.01627,0.03,nm,nm610334,2016-04-07T17:43:35.300Z,"8km SE of Ridgely, Tennessee",earthquake,0.3,0.7,0.083,14,reviewed,nm,nm
2014-03-19T22:38:03.330Z,32.9978333,-80.1778333,6.91,3,mlg,15,57,0.08998,0.37,se,se610620,2016-04-07T18:15:25.450Z,"0km S of Centerville, South Carolina",earthquake,0.5,0.8,0.432,8,reviewed,se,se
2014-02-16T20:23:35.810Z,33.8301667,-82.0656667,6.99,3,mw,20,109,0.2032,0.38,se,se610611,2016-04-07T18:14:28.090Z,"13km WNW of Edgefield, South Carolina",earthquake,0.6,1,0.457,10,reviewed,se,se
2014-02-15T03:23:38.150Z,33.8166667,-82.092,5.18,4.1,mw,21,110,0.2289,0.38,se,se610610,2017-01-25T00:36:57.279Z,"15km WNW of Edgefield, South Carolina",earthquake,0.6,0.8,0.765,11,reviewed,se,se
2013-12-23T16:45:49.310Z,25.7194,-66.6056,2.08,5.2,mwb,,48,5.896,0.85,us,usc000lqeg,2014-02-27T22:02:51.844Z,"North Atlantic Ocean",earthquake,,2.7,0.068,,reviewed,us,us
2013-12-11T07:47:21.000Z,47.223,-70.4,12.5,3.4,mb_lg,,,,0.88,us,usc000ljy4,2014-02-21T23:00:51.000Z,"25km SSE of Baie-Saint-Paul, Canada",earthquake,,7.2,,,reviewed,ott,ott
2013-11-20T17:59:39.820Z,39.445,-82.205,8,3.5,mb_lg,,,,0.57,us,usb000l2y3,2016-05-26T21:25:38.510Z,"2km ESE of Nelsonville, Ohio",earthquake,,6.8,0.042,,reviewed,oh,us
2013-11-04T18:35:33.720Z,41.7999,-87.8247,1,3.2,mb_lg,,28,0.383,0.5,us,usb000ksfx,2015-05-21T17:16:39.081Z,"1km NW of Summit, Illinois",earthquake,,2,0.052,,reviewed,us,us
2013-10-20T10:40:33.380Z,45.6106,-77.4528,18,3.6,mb_lg,,,,0.8,us,usb000khk2,2016-05-26T21:25:28.410Z,"33km SSW of Petawawa, Canada",earthquake,,1.5,,,reviewed,ott,ott
2013-10-08T01:58:09.190Z,30.1795,-74.1579,19.04,4.4,mb,,63,5.138,1.05,us,usb000k8bw,2013-12-24T01:42:56.000Z,"Off the east coast of the United States",earthquake,,4.5,0.074,,reviewed,us,us
2013-09-21T14:48:26.110Z,49.7668,-65.9147,18,4.2,mwr,,,,1.71,us,usb000jx58,2015-01-30T14:30:59.752Z,"58km SE of Sept-Iles, Canada",earthquake,,1.8,0.075,,reviewed,ott,us
2013-09-02T23:51:15.460Z,31.9095,-94.4279,4.69,4.3,mwr,,76,0.018,0.96,us,usb000jfgm,2015-01-28T14:59:03.719Z,"3km WNW of Timpson, Texas",earthquake,,2.6,0.052,,reviewed,us,us
2013-08-28T09:44:34.630Z,46.9913,-66.6064,5,3.2,mb_lg,,,,0.52,us,usb000jekt,2013-11-06T01:33:32.000Z,"86km W of Miramichi, Canada",earthquake,,2,,,reviewed,us_ott,us_ott
2013-08-12T21:43:24.300Z,36.261,-89.3013333,4.4,3.3,md,34,103,0.01341,0.11,nm,nm610016,2016-04-07T18:51:30.370Z,"9km W of Obion, Tennessee",earthquake,0.5,1.2,0.189,7,reviewed,nm,nm
2013-07-17T20:10:33.020Z,35.6248333,-90.5638333,13.57,3.2,md,28,54,0.07196,0.14,nm,nm609991,2016-04-07T18:48:49.000Z,"7km SW of Trumann, Arkansas",earthquake,0.2,0.4,0.124,7,reviewed,nm,nm
2013-07-11T20:16:07.000Z,47.81,-70.049,14.9,4.4,mb,48,100,,,us,usp000k1wx,2016-05-26T21:24:48.900Z,"St. Lawrence Valley region, Quebec, Canada",earthquake,,,,9,reviewed,ott,us
2013-07-01T07:48:43.300Z,41.793,-81.292,5,3.2,mblg,48,100,,,us,usp000k1m6,2016-05-26T21:24:44.920Z,"6km NW of Fairport Harbor, Ohio",earthquake,,,,,reviewed,ogso,ogso
2013-06-30T08:40:46.000Z,45.748,-76.352,14,3.1,mblg,16,100,,,us,us2013sbcm,2014-11-07T01:51:08.360Z,"19km NNE of Shawville, Canada",earthquake,,,,,reviewed,ott,ott
2013-05-24T05:44:24.910Z,35.2981667,-92.7145,5.61,3.4,mw,15,51,0.1546,0.18,nm,nm609922,2016-04-07T18:41:35.920Z,"16km N of Morrilton, Arkansas",earthquake,1,2,0.626,3,reviewed,nm,nm
2013-05-22T17:19:39.780Z,35.2991667,-92.715,5.44,3.4,mw,13,90,0.1543,0.15,nm,nm609912,2016-04-07T18:40:32.730Z,"16km N of Morrilton, Arkansas",earthquake,1.2,2.2,0.716,3,reviewed,nm,nm
2013-05-17T20:15:17.000Z,45.767,-76.346,18,3.1,mblg,36,100,,,us,usb000gxx8,2016-05-26T21:24:25.450Z,"21km NNE of Shawville, Canada",earthquake,,,,,reviewed,ott,ott
2013-05-17T13:53:55.830Z,45.7576667,-76.3545,10.72,3.63,ml,17,141,,0.35,ld,ld60040531,2016-05-26T21:24:22.770Z,"18km NE of Shawville, Canada",earthquake,0.58,1.06,0.2,54,reviewed,ld,ld
2013-05-17T13:43:24.440Z,45.7568333,-76.3533333,13,5.06,ml,17,141,,0.2,ld,ld60040526,2016-05-26T21:24:20.300Z,"19km NNE of Shawville, Canada",earthquake,0.37,31.61,0.32,28,reviewed,ld,ld
2013-03-31T14:01:24.030Z,38.645,-80.8331667,8.02,3.4,mw,13,69,,0.45,se,se610164,2016-04-07T19:07:13.170Z,"11km WSW of Sutton, West Virginia",earthquake,1.3,3.8,0.304,6,reviewed,se,se
2013-03-21T05:22:17.440Z,46.43,-66.122,5,3.2,mblg,29,67,,,us,us2013nab1,2014-11-07T01:50:22.181Z,"68km NE of Fredericton, Canada",earthquake,,,,,reviewed,ott,ott
2013-02-23T22:28:38.560Z,35.6256667,-90.56,14.11,3.7,mw,30,80,0.07477,0.12,nm,nm609799,2016-04-07T18:29:44.473Z,"7km SW of Trumann, Arkansas",earthquake,0.3,0.4,0.057,1,reviewed,nm,nm
2013-02-19T04:59:44.000Z,48.425,-83.298,8,4.1,mb,34,61.7,,,us,us2013lvad,2014-11-07T01:50:09.684Z,"37km NNE of Chapleau, Canada",earthquake,,,,1,reviewed,ott,us
2013-01-25T07:01:19.840Z,31.844,-94.3,5,4.1,mblg,172,68,,1.44,us,usc000ev85,2015-01-28T13:49:38.488Z,"11km SE of Timpson, Texas",earthquake,,,,,reviewed,us,us
2013-01-16T01:01:48.950Z,46.063,-75.433,18,3,mblg,18,159.4,,,us,usp000jyfd,2014-11-07T01:49:50.680Z,"southern Quebec, Canada",earthquake,,,,,reviewed,ott,ott
2013-01-16T00:53:04.880Z,46.061,-75.442,18,3.5,mblg,53,86.3,,,us,usp000jyfc,2014-11-07T01:49:50.674Z,"southern Quebec, Canada",earthquake,,,,,reviewed,ott,ott
2013-01-02T16:36:22.000Z,47.02,-66.497,5,3,mblg,10,157.1,,,us,usp000jxrb,2014-11-07T01:49:44.672Z,"New Brunswick, Canada",earthquake,,,,,reviewed,ott,ott
2012-12-12T17:46:06.000Z,47.785,-70.049,5.3,4.4,mblg,95,40.5,,,us,usp000jww2,2015-03-24T02:02:43.732Z,"St. Lawrence Valley region, Quebec, Canada",earthquake,,,,,reviewed,ott,ott
2012-11-27T07:55:56.000Z,48.815,-67.352,17,4.2,mblg,95,36.8,,,us,usp000jw4q,2015-03-24T02:23:42.722Z,"Gaspe Peninsula, Quebec, Canada",earthquake,,,,,reviewed,ott,ott
2012-11-24T11:03:13.480Z,35.9186667,-83.5011667,7.02,3,mlg,23,51,,0.14,se,se609741,2016-04-07T20:02:37.530Z,"7km NE of Sevierville, Tennessee",earthquake,0.6,1.4,0.267,2,reviewed,se,se
2012-11-20T23:28:22.610Z,38.4548333,-87.9018333,18.56,3.6,mlg,33,49,,0.2,nm,nm609594,2016-04-07T19:48:46.538Z,"13km WNW of Mount Carmel, Illinois",earthquake,0.3,0.4,0.792,3,reviewed,nm,nm
2012-11-10T17:08:14.280Z,37.1386667,-83.0536667,17.03,4.2,mw,21,72,,0.16,se,se609737,2016-11-16T07:53:57.806Z,"17km SE of Hazard, Kentucky",earthquake,0.4,1.2,0.231,1,reviewed,se,se
2012-11-06T09:05:28.400Z,45.6185,-74.601,11.07,3.74,ml,21,204,0.6211,0.23,ld,ld60036901,2016-05-26T21:23:25.800Z,"Ontario-Quebec border region, Canada",earthquake,0.52,0.75,0.17,47,reviewed,ld,ld
2012-10-29T12:39:24.100Z,35.2031667,-90.6323333,21.04,3.9,mlg,57,46,0.1301,0.26,nm,nm609579,2016-04-07T19:46:42.425Z,"8km SW of Parkin, Arkansas",earthquake,0.2,0.4,0.205,3,reviewed,nm,nm
2012-10-16T23:12:25.080Z,43.5973333,-70.656,16.09,4.67,ml,27,116,,0.27,ld,ld60036706,2016-12-07T19:20:09.897Z,"Maine",earthquake,0.47,0.79,0.15,42,reviewed,ld,ld
2012-10-10T04:19:29.090Z,45.7553333,-73.2685,8.55,3.93,ml,20,189,0.3562,0.44,ld,ld60036501,2016-05-26T21:23:12.350Z,"southern Quebec, Canada",earthquake,1.12,1.32,0.18,35,reviewed,ld,ld
2012-09-22T16:10:41.370Z,48.442,-83.266,18,3.9,mblg,77,35.6,,,us,usp000jsqy,2015-03-24T02:07:21.655Z,"Ontario, Canada",earthquake,,,,,reviewed,ott,ott
2012-08-19T08:24:23.490Z,35.24,-92.3795,4.38,3.3,mlg,27,39,,0.17,nm,nm609509,2016-04-07T19:38:00.000Z,"0km NE of Greenbrier, Arkansas",earthquake,0.5,1,0.592,3,reviewed,nm,nm
2012-08-04T18:27:49.630Z,47.234,-70.597,18,3.8,mblg,49,61.1,,,us,usp000jpwj,2015-03-24T02:36:05.435Z,"St. Lawrence Valley region, Quebec, Canada",earthquake,,,,,reviewed,ott,ott
